Episode,URL,Questions
Episode 41,https://www.youtube.com/watch?v=1ZBCrXCAfi0,"02:57 - Inflation-linked bonds.
07:09 - Diversifying fixed income exposure.
11:03- Prospecting for younger clients as a financial advisor.
18:00 - Selling or HODLing.
23:07 - Allocating to bonds as a young person."
Episode 42,https://www.youtube.com/watch?v=E4lzOH0r4lE,"04:28 - Downgrading to one income.
09:08 - Prepaying for college.
12:58 - Save or invest inherited money.
20:49 - Investing during retirement.
24:45 - optimizing unrealized capital losses.
28:36 - Setting aside IRA contributions."
Episode 43,https://www.youtube.com/watch?v=_0UTiPSc5F8,"02:21 - Evolution of savings rates
07:13 - Savings accounts vs short-term bonds
10:26 - Rethinking a retirement plan
15:27 - Restricted stock units
20:13 - Exercising startup shares
27:14 - Maxing out I savings bonds"
Episode 44,https://www.youtube.com/watch?v=eGB6HXtMZ7A,"03:31 - Living in high-cost areas.
08:15 - low-cost indexing vs paying for an advisor
12:16 - Conned out of money
18:07 - Selling land
22:16 -Paying down debt vs saving for an emergency"
Episode 45,https://www.youtube.com/watch?v=6y1qi9mpkgs,"04:44 - Leasing vs Buying
09:44 - Mortgage Free Strategy
15:15 - Writing covered calls seems too easy, what am I missing?
18:58 - Should set up a trust or estate?
21:53 - Is is time to take control of my IRA?"
Episode 46,https://www.youtube.com/watch?v=j5RNh_ruZOM,"06:18 - TIPS ETFs
11:42 - Buying a mortgage
16:10 - Putting the fed funds rate on the blockchain
20:37 - Pension tax planning
26:09 - building an emergency fund
30:44 - Backdoor Roth"
Episode 47,https://www.youtube.com/watch?v=1FkMUZPLtzw,"02:34 - Timing the bond market
07:15 - I'm new to finance, what do I do with this $400k?
10:12 - Michael's pitch for muni bonds
15:20 - Bear markets and uncertainty
20:12 - My company is getting acquired, what should I do?
23:18 - Buying a home in this environment"
Episode 48,https://www.youtube.com/watch?v=wzcByRsP7VE,"04:55 - The worst case for the stock market
12:15 - Replacing bonds with dividend stocks in your 60/40 portfolio
16:10 - Buying your first house
20:57 - FAFSA and paying for college
27:43 - 529 contributions vs maxing 401(k)"
Episode 49,https://www.youtube.com/watch?v=NWkrOwCORcI,"06:15 - Is the fed making a mistake by throwing us into a recession?
14:07 - Consequences of 7% mortgage rates.
19:27 - Monetary policy during inflation.
23:31 - Why are workers being blamed for inflation?
26:52 - How Ben and Cullen would run the fed."
Episode 50,https://www.youtube.com/watch?v=puX8qtJqRDU,"04:42 - Sitting in bonds vs sitting in stocks.
12:20 - If or when to lower 401k contributions.
17:36 - How to plan for future tax rates.
24:44 - The wash sale rule.
30:34 - Allocating contributions."
Episode 51,https://www.youtube.com/watch?v=Mz78NmTudw0,"04:47 - How asset allocation strategy should change with net wortth.
11:50 - Real returns for bonds.
14:50 - I-bonds.
20:58 - Retirement planning.
25:40 - Monte Carlo analysis."
Episode 52,https://www.youtube.com/watch?v=puX8qtJqRDU,"04:42 - Sitting in bonds vs sitting in stocks.
12:20 - If or when to lower 401k contributions.
17:36 - How to plan for future tax rates.
24:44 - The wash sale rule.
30:34 - Allocating contributions."
Episode 53,https://www.youtube.com/watch?v=xlV7xQFxW4w,"03:59 - As a young person, should I buy some bonds or buy beaten down stocks?
07:13 - Can you talk about the decision of buying individual bonds versus  bond ETFs? 
15:52 - What can I do with my adopted kid's monthly income so that he gets a large chunk at 18?
23:24 - How should someone living with an auto-immune disease be thinking about life expectancy and how that relates to when we should retire? 
28:40 - How do I plan for an expected income jump? "
Episode 54,https://www.youtube.com/watch?v=BNYXVFuqzks,"02:45 - Leverage in real estate.
08:56 - The wealth effect
14:00 - T-Bonds.
18:23 - Tax-loss harvesting.
22:30 - Withdrawing a 401k.
27:54 - Offsetting capital gains."
Episode 55,https://www.youtube.com/watch?v=pnM2OvHxM04,"02:06 - Are Bonds ever Wrong?
07:34 - T-bills vs. Savings Account?
12:39 - Bonds and Rate Changes
17:46 - Private Equity?
25:20 - Younger Financial Advisors"
Episode 56,https://www.youtube.com/watch?v=wPpKb2tcqpI,"02:25 - What to do with extra cash.
06:30 - Inflation
11:20 - Publicly traded REITs vs non-traded.
18:35 - Strongest performing sectors out of this market downturn.
24:30 - Selling pressure."
Episode 57,https://www.youtube.com/watch?v=JlH6e_CiREY,"01:25 - Stock Market predictions for 2023.
04:52 - Why higher inflation should be good for stocks.
09:54 - offsetting capital gains.
13:55 - Mutual funds to ETFs.
17:25 - Changing asset allocation with increasing net worth.
21:55 - Roth contributions.
25:58 - What to look for in a CPA/Tax planner."
Episode 58,https://www.youtube.com/watch?v=HrG8N0Vqjms,"09:20 - Deflation vs Inflation.
12:55 - Is the Stock Market a Ponzi Scheme?
18:23 - Emergency funds.
22:43 - Using banked PTO as an emergency fund.
26:26 - Investing AFTER Retirement."
Episode 59,https://www.youtube.com/watch?v=Zeco7PecniE,"01:12 - Sitting in cash.
05:45 - Buying real estate when moving.
10:40 - Reinvesting dividends.
16:10 - Saving money on taxes.
21:22 - Roth IRA contributions.
26:37 - When to hire an accountant."
Episode 60,https://www.youtube.com/watch?v=K9HiRf26H4I,"01:47 - Is a 100% stock portfolio crazy?
03:35 - Why own bonds?
09:45 - Structuring a portfolio when you've already won.
14:30 - Backdoor Roth conversions.
19:38 - Tax considerations for parents.
25:42 - Roth, traditional, and backdoor Roth."
Episode 61,https://www.youtube.com/watch?v=dYQAYc26bm0,"02:56 - Adding bonds to a 100% stock portfolio
07:23 - Is having a pension and annuity a substitute for bonds?
11:10 - Can the stock market grow forever?
18:23 - Whole life insurance.
28:18 - Saving for kids."
Episode 62,https://www.youtube.com/watch?v=cTFpiOAWv7k,"01:05 - How retirees should protect their portfolio. 
08:23 - Inverted yield curve.
12:05 - T-Bills.
17:18 - Safeguarding your financial plan
27:49 - HSAs"
Episode 63,https://www.youtube.com/watch?v=I4SkwKzZ2wE,"02:20 - Deconstructing 30-year stock market returns.
09:03 - How to invest in bonds.
15:30 - RMD calculations.
20:44 - Backdoor Roth IRA.
25:19 - The new Roth rule."
Episode 64,https://www.youtube.com/watch?v=Em-hmLY8V2M,"02:37 - Is it okay to stop 401(k) contributions to save up for a down payment?
06:21 - Covered Call ETFs vs Bond ETFs.
13:30 - HELOC vs Home Equity loans
17:23 - Housing and interest rates.
27:36 - US population demographics and the market."
Episode 65,https://www.youtube.com/watch?v=dgJq-0hLjVc,"03:33 - Long-term vs short-term bonds.
12:18 - Investing in farmland.
18:30 - Utilizing a Roth IRA.
24:00 - Best way to diversify out of large single stock positions.
27:47 - Should I Put Riskier Stocks in my Roth IRA?"
Episode 66,https://www.youtube.com/watch?v=uqKeKIvYWjU,"01:20 - Budgeting and following through on big, meaningful expenditures.
08:42 - Should you hold leveraged ETFs in a Roth IRA.
12:30 - Assessing past performance.
18:20 - 401(k) loans.
23:26 - Should I Invest in Real Estate instead of my 401(k)?"
Episode 67,https://www.youtube.com/watch?v=vh7XLSLCpKQ,"03:00 - Did VCs cause the bank run on Twitter?
08:44 - What happens if a brokerage fails?
16:00 - FHLB.
20:32 - Are Money Market Funds safe?
28:25 - Did this banking crisis make a recession more likely?"
